x;letter;letter_f;ieme;ieme_f;ieme_number;ieme_number_f
505;cinq-cent-cinq;cinq-cent-cinq;cinq-cent-cinquième;cinq-cent-cinquième;505ème;505ème
506;cinq-cent-six;cinq-cent-six;cinq-cent-sixième;cinq-cent-sixième;506ème;506ème
507;cinq-cent-sept;cinq-cent-sept;cinq-cent-septième;cinq-cent-septième;507ème;507ème
508;cinq-cent-huit;cinq-cent-huit;cinq-cent-huitième;cinq-cent-huitième;508ème;508ème
509;cinq-cent-neuf ;cinq-cent-neuf ;cinq-cent-neuf ième;cinq-cent-neuf ième;509ème;509ème
510;cinq-cent-dix;cinq-cent-dix;cinq-cent-dixième;cinq-cent-dixième;510ème;510ème
511;cinq-cent-onze;cinq-cent-onze;cinq-cent-onzième;cinq-cent-onzième;511ème;511ème
512;cinq-cent-douze;cinq-cent-douze;cinq-cent-douzième;cinq-cent-douzième;512ème;512ème
513;cinq-cent-treize;cinq-cent-treize;cinq-cent-treizième;cinq-cent-treizième;513ème;513ème
514;cinq-cent-quatorze;cinq-cent-quatorze;cinq-cent-quatorzième;cinq-cent-quatorzième;514ème;514ème
515;cinq-cent-quinze;cinq-cent-quinze;cinq-cent-quinzième;cinq-cent-quinzième;515ème;515ème
516;cinq-cent-seize;cinq-cent-seize;cinq-cent-seizième;cinq-cent-seizième;516ème;516ème
517;cinq-cent-dix-sept;cinq-cent-dix-sept;cinq-cent-dix-septième;cinq-cent-dix-septième;517ème;517ème
518;cinq-cent-dix-huit;cinq-cent-dix-huit;cinq-cent-dix-huitième;cinq-cent-dix-huitième;518ème;518ème
519;cinq-cent-dix-neuf;cinq-cent-dix-neuf;cinq-cent-dix-neuvième;cinq-cent-dix-neuvième;519ème;519ème
520;cinq-cent-vingt;cinq-cent-vingt;cinq-cent-vingtième;cinq-cent-vingtième;520ème;520ème
521;cinq-cent-vingt-et-un;cinq-cent-vingt-et-un;cinq-cent-vingt-et-unième;cinq-cent-vingt-et-unième;521ème;521ème
522;cinq-cent-vingt-deux;cinq-cent-vingt-deux;cinq-cent-vingt-deuxième;cinq-cent-vingt-deuxième;522ème;522ème
523;cinq-cent-vingt-trois;cinq-cent-vingt-trois;cinq-cent-vingt-troisième;cinq-cent-vingt-troisième;523ème;523ème
524;cinq-cent-vingt-quatre;cinq-cent-vingt-quatre;cinq-cent-vingt-quatrième;cinq-cent-vingt-quatrième;524ème;524ème
525;cinq-cent-vingt-cinq;cinq-cent-vingt-cinq;cinq-cent-vingt-cinquième;cinq-cent-vingt-cinquième;525ème;525ème
526;cinq-cent-vingt-six;cinq-cent-vingt-six;cinq-cent-vingt-sixième;cinq-cent-vingt-sixième;526ème;526ème
527;cinq-cent-vingt-sept;cinq-cent-vingt-sept;cinq-cent-vingt-septième;cinq-cent-vingt-septième;527ème;527ème
528;cinq-cent-vingt-huit;cinq-cent-vingt-huit;cinq-cent-vingt-huitième;cinq-cent-vingt-huitième;528ème;528ème
529;cinq-cent-vingt-neuf;cinq-cent-vingt-neuf;cinq-cent-vingt-neuvième;cinq-cent-vingt-neuvième;529ème;529ème
530;cinq-cent-trente;cinq-cent-trente;cinq-cent-trentième;cinq-cent-trentième;530ème;530ème
